"Individual","full_path","haplogroup"
"HG00115","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00116","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00117","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00118","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00119","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00120","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00121","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00122","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00123","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2 -> H2a","H2a"
"HG00124","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> N1a1 -> N1a1b -> I","I"
"HG00125","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00126","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00127","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2 -> H2a -> H2a2a","H2a2a"
"HG00128","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K","K"
"HG00129","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00130","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"HG00131","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2 -> H2a -> H2a2a","H2a2a"
"HG00132","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00133","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00136","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00137","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00138","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00139","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00140","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00141","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00142","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00143","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00145","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00146","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00148","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"HG00149","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00150","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00151","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00154","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> N1a1 -> N1a1b -> I","I"
"HG00155","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00157","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00158","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00159","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00160","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00171","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> V","V"
"HG00173","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00174","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00176","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00177","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00178","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00179","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00180","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00181","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00182","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00183","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00185","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00186","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00187","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00188","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00189","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00190","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00231","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"HG00232","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00233","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00234","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00235","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00236","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K","K"
"HG00237","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00238","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00239","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00240","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00242","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00243","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K","K"
"HG00244","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"HG00245","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00246","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00250","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00251","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00252","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00253","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> N1a1 -> N1a1b -> I","I"
"HG00254","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00255","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00256","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00257","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT","JT"
"HG00258","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00259","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00260","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00261","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00262","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00263","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00264","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00265","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00266","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00267","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00268","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00269","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00271","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00272","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00273","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00274","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00275","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00276","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00277","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00278","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00280","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"HG00281","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00282","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> V","V"
"HG00284","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00285","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00288","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00290","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00304","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2 -> H2a","H2a"
"HG00306","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00308","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"HG00309","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00310","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00311","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00313","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00315","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00318","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00319","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00320","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00321","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00323","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> V","V"
"HG00324","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00325","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00326","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00327","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00328","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00329","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> N1a1 -> N1a1b -> I","I"
"HG00330","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00331","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00332","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00334","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00335","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00336","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> W","W"
"HG00337","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00338","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00339","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00341","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00342","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00343","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00344","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00345","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> V","V"
"HG00346","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00349","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U -> U8b -> K -> K1","K1"
"HG00350","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV","HV"
"HG00351","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00353","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00355","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00356","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> T","T"
"HG00357","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00358","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00360","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H -> H2 -> H2a","H2a"
"HG00361","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00362","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00364","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00365","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00366","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00367","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00368","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00369","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> N1a1 -> N1a1b -> I","I"
"HG00371","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> X -> X2","X2"
"HG00372","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00373","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00375","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> JT -> J","J"
"HG00376","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00378","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00379","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00380","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00381","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00382","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00383","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> HV -> H","H"
"HG00384","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> U","U"
"HG00403","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00404","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B5","B5"
"HG00406","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00407","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00409","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00410","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00419","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00421","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00422","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00428","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> C","C"
"HG00436","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00437","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00442","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00443","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00445","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00446","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B4b'd'e","B4b'd'e"
"HG00448","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00449","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3","L3"
"HG00451","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A","A"
"HG00452","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00457","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00458","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B5","B5"
"HG00463","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00464","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00472","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00473","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D","D"
"HG00475","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D","D"
"HG00476","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00478","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00479","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00500","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00501","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00513","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3","L3"
"HG00524","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00525","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00530","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00531","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00533","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B4b'd'e","B4b'd'e"
"HG00534","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00536","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3","L3"
"HG00537","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00542","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B5","B5"
"HG00543","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B5","B5"
"HG00551","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A -> A2","A2"
"HG00553","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A -> A2","A2"
"HG00554","L1 -> L1b","L1b"
"HG00556","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00557","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00559","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00560","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00565","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A","A"
"HG00566","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A","A"
"HG00580","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D","D"
"HG00581","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00583","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00584","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00589","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00590","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> C","C"
"HG00592","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00593","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00595","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D","D"
"HG00596","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00598","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00599","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00607","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00608","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00610","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B5","B5"
"HG00611","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00613","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00614","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00619","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00620","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N","N"
"HG00622","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00623","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00625","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00626","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00628","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D","D"
"HG00629","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00631","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00632","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R","R"
"HG00634","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A","A"
"HG00635","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
"HG00637","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A -> A2","A2"
"HG00638","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> A -> A2","A2"
"HG00640","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> N -> R -> B4b'd'e -> B2","B2"
"HG00641","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> C","C"
"HG00650","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M","M"
"HG00651","L2'3'4'5'6 -> L2'3'4'6 -> L3'4 -> L3 -> M -> D -> D4","D4"
